    0.00	-60.020	-60.031	-60.038
    0.01	-60.040	-60.061	-60.076
    0.02	-60.059	-60.092	-60.113
    0.03	-60.079	-60.122	-60.151
    0.04	-60.098	-60.152	-60.188
    0.05	-60.118	-60.182	-60.225
    0.06	-60.137	-60.212	-60.262
    0.07	-60.156	-60.242	-60.299
    0.08	-60.175	-60.272	-60.336
    0.09	-60.194	-60.301	-60.372
    0.10	-60.213	-60.331	-60.408
    0.11	-60.232	-60.360	-60.445
    0.12	-60.251	-60.389	-60.481
    0.13	-60.270	-60.418	-60.516
    0.14	-60.288	-60.447	-60.552
    0.15	-60.307	-60.476	-60.587
    0.16	-60.325	-60.504	-60.623
    0.17	-60.344	-60.533	-60.658
    0.18	-60.362	-60.561	-60.693
    0.19	-60.380	-60.589	-60.728
    0.20	-60.398	-60.617	-60.762
    0.21	-60.416	-60.645	-60.797
    0.22	-60.434	-60.673	-60.831
    0.23	-60.452	-60.701	-60.866
    0.24	-60.470	-60.729	-60.900
    0.25	-60.488	-60.756	-60.934
    0.26	-60.505	-60.783	-60.967
    0.27	-60.523	-60.811	-61.001
    0.28	-60.541	-60.838	-61.034
    0.29	-60.558	-60.865	-61.068
    0.30	-60.575	-60.892	-61.101
    0.31	-60.593	-60.919	-61.134
    0.32	-60.610	-60.945	-61.167
    0.33	-60.627	-60.972	-61.199
    0.34	-60.644	-60.998	-61.232
    0.35	-60.661	-61.024	-61.264
    0.36	-60.678	-61.051	-61.296
    0.37	-60.695	-61.077	-61.329
    0.38	-60.711	-61.103	-61.361
    0.39	-60.728	-61.128	-61.392
    0.40	-60.745	-61.154	-61.424
    0.41	-60.761	-61.180	-61.456
    0.42	-60.778	-61.205	-61.487
    0.43	-60.794	-61.231	-61.518
    0.44	-60.810	-61.256	-61.549
    0.45	-60.826	-61.281	-61.580
    0.46	-60.843	-61.306	-61.611
    0.47	-60.859	-61.331	-61.642
    0.48	-60.875	-61.356	-61.672
    0.49	-60.891	-61.381	-61.703
    0.50	-60.906	-61.405	-61.733
    0.51	-60.922	-61.430	-61.763
    0.52	-60.938	-61.454	-61.793
    0.53	-60.954	-61.478	-61.823
    0.54	-60.969	-61.503	-61.852
    0.55	-60.985	-61.527	-61.882
    0.56	-61.000	-61.551	-61.911
    0.57	-61.015	-61.574	-61.941
    0.58	-61.031	-61.598	-61.970
    0.59	-61.046	-61.622	-61.999
    0.60	-61.061	-61.645	-62.028
    0.61	-61.076	-61.669	-62.057
    0.62	-61.091	-61.692	-62.085
    0.63	-61.106	-61.715	-62.114
    0.64	-61.121	-61.738	-62.142
    0.65	-61.136	-61.761	-62.170
    0.66	-61.151	-61.784	-62.199
    0.67	-61.165	-61.807	-62.226
    0.68	-61.180	-61.830	-62.254
    0.69	-61.195	-61.852	-62.282
    0.70	-61.209	-61.875	-62.310
    0.71	-61.223	-61.897	-62.337
    0.72	-61.238	-61.920	-62.365
    0.73	-61.252	-61.942	-62.392
    0.74	-61.266	-61.964	-62.419
    0.75	-61.280	-61.986	-62.446
    0.76	-61.295	-62.008	-62.473
    0.77	-61.309	-62.030	-62.499
    0.78	-61.323	-62.051	-62.526
    0.79	-61.336	-62.073	-62.553
    0.80	-61.350	-62.094	-62.579
    0.81	-61.364	-62.116	-62.605
    0.82	-61.378	-62.137	-62.631
    0.83	-61.391	-62.158	-62.657
    0.84	-61.405	-62.180	-62.683
    0.85	-61.419	-62.201	-62.709
    0.86	-61.432	-62.222	-62.735
    0.87	-61.445	-62.242	-62.760
    0.88	-61.459	-62.263	-62.786
    0.89	-61.472	-62.284	-62.811
    0.90	-61.485	-62.304	-62.836
    0.91	-61.498	-62.325	-62.861
    0.92	-61.511	-62.345	-62.886
    0.93	-61.524	-62.365	-62.911
    0.94	-61.537	-62.386	-62.936
    0.95	-61.550	-62.406	-62.960
    0.96	-61.563	-62.426	-62.985
    0.97	-61.576	-62.446	-63.009
    0.98	-61.589	-62.466	-63.034
    0.99	-61.601	-62.485	-63.058
    1.00	-61.614	-62.505	-63.082
    1.01	-61.627	-62.525	-63.106
    1.02	-61.639	-62.544	-63.130
    1.03	-61.651	-62.563	-63.153
    1.04	-61.664	-62.583	-63.177
    1.05	-61.676	-62.602	-63.200
    1.06	-61.688	-62.621	-63.224
    1.07	-61.701	-62.640	-63.247
    1.08	-61.713	-62.659	-63.270
    1.09	-61.725	-62.678	-63.293
    1.10	-61.737	-62.697	-63.316
    1.11	-61.749	-62.715	-63.339
    1.12	-61.761	-62.734	-63.362
    1.13	-61.773	-62.753	-63.385
    1.14	-61.785	-62.771	-63.407
    1.15	-61.796	-62.789	-63.430
    1.16	-61.808	-62.808	-63.452
    1.17	-61.820	-62.826	-63.474
    1.18	-61.831	-62.844	-63.496
    1.19	-61.843	-62.862	-63.518
    1.20	-61.854	-62.880	-63.540
    1.21	-61.866	-62.898	-63.562
    1.22	-61.877	-62.916	-63.584
    1.23	-61.888	-62.933	-63.606
    1.24	-61.900	-62.951	-63.627
    1.25	-61.911	-62.968	-63.649
    1.26	-61.922	-62.986	-63.670
    1.27	-61.933	-63.003	-63.691
    1.28	-61.944	-63.021	-63.712
    1.29	-61.955	-63.038	-63.733
    1.30	-61.966	-63.055	-63.754
    1.31	-61.977	-63.072	-63.775
    1.32	-61.988	-63.089	-63.796
    1.33	-61.999	-63.106	-63.817
    1.34	-62.009	-63.123	-63.837
    1.35	-62.020	-63.140	-63.858
    1.36	-62.031	-63.156	-63.878
    1.37	-62.041	-63.173	-63.898
    1.38	-62.052	-63.189	-63.918
    1.39	-62.062	-63.206	-63.938
    1.40	-62.073	-63.222	-63.958
    1.41	-62.083	-63.239	-63.978
    1.42	-62.093	-63.255	-63.998
    1.43	-62.104	-63.271	-64.018
    1.44	-62.114	-63.287	-64.038
    1.45	-62.124	-63.303	-64.057
    1.46	-62.134	-63.319	-64.077
    1.47	-62.144	-63.335	-64.096
    1.48	-62.154	-63.351	-64.115
    1.49	-62.164	-63.366	-64.134
    1.50	-62.174	-63.382	-64.153
    1.51	-62.184	-63.398	-64.172
    1.52	-62.194	-63.413	-64.191
    1.53	-62.204	-63.429	-64.210
    1.54	-62.214	-63.444	-64.229
    1.55	-62.223	-63.459	-64.248
    1.56	-62.233	-63.474	-64.266
    1.57	-62.243	-63.490	-64.285
    1.58	-62.252	-63.505	-64.303
    1.59	-62.262	-63.520	-64.321
    1.60	-62.271	-63.535	-64.340
    1.61	-62.281	-63.549	-64.358
    1.62	-62.290	-63.564	-64.376
    1.63	-62.299	-63.579	-64.394
    1.64	-62.308	-63.594	-64.412
    1.65	-62.318	-63.608	-64.429
    1.66	-62.327	-63.623	-64.447
    1.67	-62.336	-63.637	-64.465
    1.68	-62.345	-63.652	-64.482
    1.69	-62.354	-63.666	-64.500
    1.70	-62.363	-63.680	-64.517
    1.71	-62.372	-63.694	-64.534
    1.72	-62.381	-63.709	-64.552
    1.73	-62.390	-63.723	-64.569
    1.74	-62.399	-63.737	-64.586
    1.75	-62.408	-63.751	-64.603
    1.76	-62.416	-63.764	-64.620
    1.77	-62.425	-63.778	-64.637
    1.78	-62.434	-63.792	-64.653
    1.79	-62.442	-63.806	-64.670
    1.80	-62.451	-63.819	-64.687
    1.81	-62.459	-63.833	-64.703
    1.82	-62.468	-63.846	-64.720
    1.83	-62.476	-63.860	-64.736
