gSR_var	    Time stop - time start
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.900000
0.200000	121.800000
0.200000	121.800000
0.200000	121.900000
